datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
11/8/2016 4:00:00 AM,11/7/2016 11:00:00 PM,Solar,11.3,0.00,True
11/8/2016 4:00:00 AM,11/7/2016 11:00:00 PM,Storage,0.0,0.00,False
11/8/2016 4:00:00 AM,11/7/2016 11:00:00 PM,Wind,1438.8,0.02,True
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Coal,20450.0,0.28,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Gas,20486.8,0.28,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Hydro,495.5,0.01,True
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Multiple Fuels,779.2,0.01,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Nuclear,29732.6,0.40,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Oil,43.0,0.00,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Other,9.3,0.00,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Other Renewables,471.3,0.01,True
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Solar,11.2,0.00,True
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Storage,0.0,0.00,False
11/8/2016 5:00:00 AM,11/8/2016 12:00:00 AM,Wind,1563.8,0.02,True
